City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hithadhoo,MV,-0.6,73.0833,82.98,77,51,19.95,broken clouds
1,Bredasdorp,ZA,-34.5322,20.0403,65.28,55,2,22.46,clear sky
2,Severo-Kurilsk,RU,50.6789,156.125,47.01,90,100,20.87,light rain
3,New Norfolk,AU,-42.7826,147.0587,50.92,68,66,11.72,broken clouds
4,Clyde River,CA,70.4692,-68.5914,30.47,72,100,10.0,overcast clouds
5,Vaini,TO,-21.2,-175.2,71.76,94,40,5.75,light rain
6,Ushuaia,AR,-54.8,-68.3,47.82,42,20,19.57,few clouds
7,Busselton,AU,-33.65,115.3333,51.08,70,0,13.69,clear sky
8,Labuhan,ID,-6.8844,112.2051,82.65,73,83,11.05,broken clouds
9,Verkh-Usugli,RU,52.7,115.1667,41.29,80,100,6.38,overcast clouds
10,Albany,US,42.6001,-73.9662,76.86,82,96,1.01,overcast clouds
11,Kurumkan,RU,54.3,110.3,41.88,69,15,3.94,few clouds
12,Sitka,US,57.0531,-135.33,51.69,71,90,24.16,light rain
13,Souillac,MU,-20.5167,57.5167,73.36,75,25,13.62,scattered clouds
14,Lagoa,PT,39.05,-27.9833,69.15,67,62,13.56,broken clouds
15,Atuona,PF,-9.8,-139.0333,77.47,73,5,17.18,clear sky
16,Nouadhibou,MR,20.931,-17.0347,71.91,82,5,20.11,clear sky
17,Iqaluit,CA,63.7506,-68.5145,29.61,81,10,5.14,clear sky
18,Thompson,CA,55.7435,-97.8558,52.47,68,100,4.34,overcast clouds
19,Cidreira,BR,-30.1811,-50.2056,64.81,65,52,18.1,broken clouds
20,Buraydah,SA,26.326,43.975,102.36,9,0,10.42,clear sky
21,Dikson,RU,73.5069,80.5464,35.64,62,64,3.94,broken clouds
22,Mar Del Plata,AR,-38.0023,-57.5575,57.22,88,90,5.75,light rain
23,Wajima,JP,37.4,136.9,71.78,71,87,13.27,light rain
24,Yulara,AU,-25.2406,130.9889,60.64,20,0,5.75,clear sky
25,Mandalgovi,MN,45.7625,106.2708,51.42,62,3,4.74,clear sky
26,Broken Hill,AU,-31.95,141.4333,59.79,39,4,12.33,clear sky
27,Cap-Aux-Meules,CA,47.3821,-61.8597,60.22,91,7,16.46,clear sky
