City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hithadhoo,MV,82.98,broken clouds,-0.6,73.0833,Scoop Guest House
1,Bredasdorp,ZA,65.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
5,Vaini,TO,71.76,light rain,-21.2,-175.2,Keleti Beach Resort
8,Labuhan,ID,82.65,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
13,Souillac,MU,73.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
14,Lagoa,PT,69.15,broken clouds,39.05,-27.9833,Casa Das Faias
15,Atuona,PF,77.47,clear sky,-9.8,-139.0333,Villa Enata
16,Nouadhibou,MR,71.91,clear sky,20.931,-17.0347,El Medina
23,Wajima,JP,71.78,light rain,37.4,136.9,Wajiima Onsen Yashio
28,Kindberg,AT,70.32,few clouds,47.5,15.45,Pension Ehrenfried - Hotel Garni
30,Port Elizabeth,ZA,81.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
33,Esqueda,MX,67.78,overcast clouds,30.7167,-109.5833,Hotel Esqueda
34,Hasaki,JP,73.8,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
39,Kapaa,US,75.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Ascension,US,70.0,clear sky,30.2169,-90.9001,Highland Inn
44,Rikitea,PF,74.07,clear sky,-23.1203,-134.9692,People ThankYou
45,Katherine,AU,68.32,broken clouds,-14.4667,132.2667,Pine Tree Motel
46,Mahmudabad,IN,84.16,clear sky,27.3,81.1167,"Haider Services, Baitul Anwar"
47,Butaritari,KI,82.56,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
49,Caravelas,BR,74.44,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
50,Saint-Philippe,RE,75.22,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
57,Teknaf,BD,80.98,broken clouds,20.8624,92.3058,Forestry Guesthouse
58,Cape Town,ZA,68.88,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
59,Carnarvon,AU,68.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
60,Gat,IL,81.81,clear sky,31.61,34.7642,OlusHome
62,Ribeira Grande,PT,73.8,few clouds,38.5167,-28.7,Quinta da Meia Eira
66,Kilindoni,TZ,78.4,clear sky,-7.9139,39.6668,Bustani B&B
67,Bereda,ES,73.42,clear sky,43.2686,-7.5406,Pazo de Verdes
68,Faya,SA,75.72,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
69,Hermanus,ZA,67.89,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
72,Tual,ID,79.81,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
73,Roma,US,75.13,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
76,Joinville,BR,67.95,broken clouds,-26.3044,-48.8456,Mercure Joinville Prinz Hotel
80,Torbay,CA,68.29,broken clouds,47.6666,-52.7314,Gallows Cove
81,Bambous Virieux,MU,73.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
83,Cabo San Lucas,MX,82.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
89,Sao Filipe,CV,80.6,few clouds,14.8961,-24.4956,Hotel Xaguate
90,Dharchula,IN,69.12,overcast clouds,29.85,80.5333,Mahara Hotel
94,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
95,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
98,Kapit,MY,75.25,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
101,Port Hedland,AU,69.85,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
102,Crotone,IT,73.71,clear sky,39.0851,17.1178,Helios Hotel
107,Kruisfontein,ZA,78.89,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
109,Honolulu,US,76.82,broken clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
111,Avarua,CK,69.85,few clouds,-21.2078,-159.775,Paradise Inn
112,Padang,ID,80.65,broken clouds,-0.9492,100.3543,Mercure Padang
114,Maragogi,BR,83.88,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
115,Ponta Do Sol,PT,76.12,overcast clouds,32.6667,-17.1,Hotel do Campo
116,Les Cayes,HT,84.99,few clouds,18.2,-73.75,Villa Orphee
121,Dahra,DZ,81.99,overcast clouds,36.2546,0.8519,Ein Mtabol
125,Kavieng,PG,81.19,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
126,Hilo,US,71.8,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
127,Sambava,MG,74.77,clear sky,-14.2667,50.1667,Melrose
129,Tomelloso,ES,80.11,few clouds,39.1522,-3.0243,Hotel Altora
131,East London,ZA,76.51,overcast clouds,-33.0153,27.9116,Tu Casa
135,Bonthe,SL,82.62,moderate rain,7.5264,-12.505,Bonthe Holiday Village
142,Tiarei,PF,73.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
147,Vao,NC,66.9,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
151,Valparaiso,CL,65.32,clear sky,-33.0393,-71.6273,Hotel Ultramar
153,Saint George,US,69.53,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
155,Jiuquan,CN,65.32,broken clouds,39.7432,98.5174,Jiuquan Hotel
158,Kaduna,NG,77.68,overcast clouds,10.5222,7.4383,HAMDALA HOTEL
161,San Policarpo,PH,81.43,scattered clouds,12.1791,125.5072,Manong Aklan Resort
163,Vila Franca Do Campo,PT,73.81,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
164,Makakilo City,US,75.52,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
165,San Quintin,MX,72.7,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
166,Filadelfia,US,81.01,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
168,Tezu,IN,76.48,clear sky,27.9167,96.1667,Circuit House
174,Muros,ES,80.98,clear sky,42.7762,-9.0603,Apartment Av. Castelao
175,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
179,Varca,IN,78.06,light rain,15.2167,73.9167,"Taj Exotica Resort & Spa, Goa"
180,Port Alfred,ZA,75.72,overcast clouds,-33.5906,26.891,The Halyards Hotel
181,Richards Bay,ZA,72.63,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
188,Laguna,US,73.22,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
190,Kuah,MY,83.52,broken clouds,6.3265,99.8432,Azio Hotel
192,Puerto Ayora,EC,69.12,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
194,Quatre Cocos,MU,73.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
196,Kitzbuhel,AT,68.86,clear sky,47.4464,12.3922,Lebenberg Schlosshotel-Kitzbühel
202,Boysun,UZ,68.43,clear sky,38.2061,67.1986,Gaza Hotel
203,Puerto Princesa,PH,79.7,overcast clouds,9.7392,118.7353,Deep Forest Garden Inn
208,Karratha,AU,76.24,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
210,Bar Harbor,US,73.45,clear sky,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
212,Marsh Harbour,BS,83.7,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
214,Uklana Mandi,IN,75.87,overcast clouds,29.5023,75.8849,Omparkash verma
216,Piriyapatna,IN,77.72,overcast clouds,12.3397,76.0992,Dhanraj Residency
218,Lorengau,PG,81.19,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
219,Nara,JP,74.48,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
221,Hobyo,SO,79.41,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
223,Curillo,CO,70.23,overcast clouds,1.0333,-75.9191,CASA CLUB
224,Benguela,AO,75.38,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
225,Isangel,VU,70.86,overcast clouds,-19.55,169.2667,Tanna Lodge
226,Poum,NC,69.53,broken clouds,-20.2333,164.0167,Gîte kajeon
227,Lata,PT,68.36,overcast clouds,40.1629,-8.3327,Casa Maquia
228,Amuntai,ID,77.27,overcast clouds,-2.4177,115.2494,Hotel Balqis
229,Bubaque,GW,82.08,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
231,Lavumisa,SZ,81.75,clear sky,-27.31,31.892,ROADSIDE B&B
232,Gombe,NG,83.32,overcast clouds,10.2897,11.1673,Shinani Lodge
235,Sechura,PE,68.02,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
236,Alyangula,AU,73.02,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
238,Sao Joao Da Barra,BR,71.69,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
241,Arraial Do Cabo,BR,69.66,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
242,Nosy Varika,MG,72.95,clear sky,-20.5833,48.5333,Hotel Volazara
243,Kaabong,UG,79.21,scattered clouds,3.4836,34.1492,Rock Motel Ltd
247,Tartus,SY,82.69,clear sky,34.889,35.8866,خيمة نبراس للاجئين
249,Praia Da Vitoria,PT,69.87,broken clouds,38.7333,-27.0667,Hotel Branco I
250,Adeje,ES,77.52,broken clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
253,Tomatlan,MX,76.78,clear sky,19.9333,-105.25,El Salvial
254,Viransehir,TR,83.71,broken clouds,37.2353,39.7631,Viranşehir Öğretmenevi
255,Inhambane,MZ,72.82,clear sky,-23.865,35.3833,Oceano
257,Ixtapa,MX,80.22,clear sky,20.7,-105.2,Hotel Plaza Providencia
259,Pochutla,MX,79.83,few clouds,15.7432,-96.4661,Hotel Posada San Jose
260,Nadapuram,IN,77.11,overcast clouds,11.7,75.6667,Fabina Garden
